AQI Category,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value
Moderate,2,11,30,89
Moderate,1,44,0,61
Good,0,25,0,35
Good,1,30,2,24
Moderate,2,27,6,71
Moderate,2,22,12,58
Moderate,2,9,11,66
Moderate,1,28,4,55
Good,1,26,5,26
Moderate,2,17,8,79
Good,1,31,1,23
Moderate,0,21,0,57
Moderate,1,43,2,89
Good,1,39,0,27
Good,1,28,1,26
Good,1,33,0,32
Moderate,1,38,0,55
Good,1,24,2,45
Moderate,2,14,9,85
Unhealthy,2,103,0,166
Good,1,33,2,40
Moderate,1,22,0,53
Moderate,2,10,6,67
Good,0,18,0,29
Moderate,2,28,13,72
Moderate,3,25,1,99
Moderate,1,47,2,52
Moderate,1,45,0,81
Moderate,1,20,0,67
Moderate,1,49,2,55
Unhealthy,4,162,1,166
Good,1,32,0,17
Good,1,22,0,40
Moderate,1,17,1,66
Moderate,3,36,16,77
Unhealthy,2,9,10,156
Moderate,3,5,9,87
Moderate,2,8,5,74
Moderate,1,11,7,55
Moderate,1,37,3,60
Good,1,24,0,42
Moderate,2,6,6,76
Good,1,5,0,24
Good,1,14,6,38
Moderate,1,5,4,61
Good,0,10,1,32
Moderate,1,42,2,89
Unhealthy for Sensitive Groups,2,34,6,110
Good,1,25,1,48
Moderate,2,12,2,61
Unhealthy for Sensitive Groups,0,20,0,120
Moderate,1,59,0,87
Moderate,1,35,2,79
Good,1,41,0,13
Moderate,0,30,0,54
Moderate,4,16,4,84
Moderate,0,37,0,84
Good,1,38,4,49
Moderate,4,32,2,90
Good,0,25,0,19
Good,0,19,0,29
Moderate,3,14,2,59
Unhealthy for Sensitive Groups,1,27,3,104
Good,0,22,0,28
Good,1,9,0,22
Unhealthy for Sensitive Groups,0,45,0,102
Good,1,35,0,19
Moderate,1,40,1,68
Moderate,0,28,0,52
Moderate,1,67,1,79
Moderate,1,48,2,56
Moderate,1,25,3,59
Moderate,1,21,4,58
Good,0,27,0,16
Good,0,16,0,16
Good,1,32,5,47
Moderate,2,32,7,64
Moderate,1,41,0,56
Unhealthy for Sensitive Groups,4,6,37,121
Good,1,17,0,12
Very Unhealthy,1,48,0,233
Unhealthy for Sensitive Groups,1,16,4,117
Moderate,1,25,0,75
Unhealthy,2,132,1,150
Good,1,25,5,32
Moderate,1,32,0,76
Unhealthy,2,22,11,151
Good,0,42,0,13
Good,1,16,10,42
Good,1,23,0,39
Good,1,5,2,29
Unhealthy,5,103,6,172
Good,0,23,1,50
Moderate,1,38,1,77
Good,0,17,1,50
Unhealthy,3,143,2,150
Good,1,30,6,29
Good,1,38,2,26
Moderate,2,31,4,55
Good,0,33,2,17
Moderate,1,45,2,53
Unhealthy,2,133,1,166
Good,1,30,2,19
Good,0,34,0,13
Good,1,31,3,39
Moderate,1,28,2,54
Good,1,22,1,32
Unhealthy for Sensitive Groups,1,26,0,137
Moderate,0,22,0,55
Good,1,33,0,22
Unhealthy for Sensitive Groups,1,25,12,148
Moderate,2,11,15,56
Unhealthy,4,174,1,162
Good,1,35,4,44
Unhealthy for Sensitive Groups,3,122,0,114
Good,1,32,0,9
Unhealthy for Sensitive Groups,2,47,1,134
Moderate,1,45,4,59
Good,1,42,1,35
Good,1,33,7,44
Moderate,1,44,5,68
Good,0,9,2,32
Good,0,18,1,21
Good,1,29,6,48
Good,1,49,1,20
Good,0,34,0,48
Unhealthy,5,23,1,160
Good,1,38,1,28
Good,0,36,1,35
Good,1,30,1,32
Good,1,15,0,44
Good,1,30,5,46
Unhealthy,0,27,0,151
Good,1,30,3,38
Good,1,41,0,23
Good,1,41,0,25
Good,1,15,0,29
Moderate,0,27,0,58
Unhealthy,0,29,0,151
Good,0,17,0,36
Unhealthy for Sensitive Groups,1,43,0,127
Good,1,27,0,6
Moderate,0,25,0,53
Unhealthy,5,19,1,176
Good,1,39,0,32
Good,0,14,0,20
Good,0,28,0,10
Moderate,0,27,0,57
Unhealthy,3,132,2,183
Good,1,31,0,40
Moderate,1,27,3,52
Unhealthy,6,74,5,165
Moderate,2,15,20,68
Good,1,20,0,45
Moderate,2,32,6,92
Moderate,1,29,6,74
Moderate,1,33,6,88
Very Unhealthy,1,47,0,234
Good,1,22,10,45
Moderate,1,37,5,94
Moderate,2,5,13,79
Unhealthy for Sensitive Groups,3,20,10,107
Moderate,1,35,10,72
Unhealthy,0,21,3,161
Moderate,1,6,4,58
Moderate,2,3,5,62
Good,0,22,0,14
Good,1,18,4,43
Good,0,18,1,31
Moderate,2,13,9,57
Good,1,43,3,45
Good,0,28,0,41
Moderate,0,29,0,51
Moderate,1,47,0,78
Unhealthy,0,33,0,158
Good,1,35,3,17
Good,0,36,0,33
Good,1,33,5,35
Good,0,32,1,42
Moderate,1,27,3,74
Good,1,14,1,29
Moderate,1,24,3,53
Good,1,31,3,32
Good,1,36,3,24
Good,1,27,0,8
Moderate,1,28,3,51
Moderate,1,38,1,51
Unhealthy,1,37,1,166
Moderate,2,19,13,52
Good,0,16,0,20
Good,1,34,0,21
Good,0,17,0,39
Unhealthy,3,173,2,171
Good,1,40,0,27
Moderate,1,40,1,59
Moderate,2,44,1,65
Good,1,23,9,45
Unhealthy for Sensitive Groups,1,40,0,106
Good,1,39,2,21
Good,0,32,0,13
Good,0,33,0,27
Good,0,25,0,37
Good,1,31,0,28
Moderate,1,33,2,59
Good,1,37,1,11
Good,1,43,0,21
Good,1,45,0,38
Moderate,0,19,0,68
Good,1,44,1,18
Moderate,0,25,0,79
Moderate,1,16,7,55
Good,1,43,1,27
Moderate,1,30,1,79
Good,0,20,0,31
Very Unhealthy,5,201,3,167
Good,0,15,0,50
Unhealthy,3,155,4,104
Good,0,12,0,16
Good,1,24,3,22
Good,2,1,2,49
Moderate,1,42,0,67
Moderate,1,37,1,64
Good,1,13,1,33
Moderate,2,44,1,58
Moderate,1,30,8,51
Good,1,26,3,49
Moderate,1,37,4,99
Moderate,1,31,1,84
Good,1,31,3,43
Good,1,23,5,50
Good,1,39,0,47
Good,1,34,1,34
Moderate,1,26,3,52
Unhealthy for Sensitive Groups,4,141,5,146
Unhealthy,1,41,0,162
Good,1,47,0,35
Moderate,2,40,4,83
Good,0,14,1,23
Unhealthy for Sensitive Groups,1,41,0,104
Good,1,42,1,39
Unhealthy for Sensitive Groups,3,5,4,111
Unhealthy,4,0,19,150
Good,0,16,0,22
Good,1,46,0,28
Moderate,1,39,2,87
Good,1,44,0,35
Good,1,11,2,50
Moderate,1,5,4,52
Unhealthy for Sensitive Groups,0,26,1,131
Good,1,30,3,33
Good,1,48,3,50
Moderate,2,17,0,59
Good,0,26,0,30
Unhealthy,3,159,1,118
Unhealthy for Sensitive Groups,4,6,46,127
Unhealthy,2,101,1,188
Moderate,2,2,6,66
Good,1,35,0,50
Good,1,23,1,32
Unhealthy for Sensitive Groups,3,26,1,108
Moderate,1,27,3,76
Good,1,8,2,38
Good,1,28,2,30
Good,1,13,0,34
Good,0,35,1,27
Good,1,39,0,7
Moderate,1,20,5,65
Good,1,26,1,27
Moderate,1,34,7,58
Good,0,26,3,30
Unhealthy for Sensitive Groups,3,136,1,94
Unhealthy for Sensitive Groups,6,34,3,144
Good,1,26,2,41
Unhealthy for Sensitive Groups,0,30,0,133
Good,0,29,2,27
Good,0,23,0,12
Good,0,9,1,22
Good,1,10,1,25
Good,1,37,2,25
Good,1,19,1,36
Good,1,10,2,29
Moderate,1,53,1,37
Good,1,50,1,28
Good,1,23,1,21
Unhealthy for Sensitive Groups,1,12,8,141
Unhealthy for Sensitive Groups,1,13,7,139
Moderate,1,23,0,59
Very Unhealthy,4,204,3,188
Good,1,26,3,50
Moderate,0,22,0,65
Moderate,1,52,1,36
Good,1,37,0,27
Good,1,9,2,36
Moderate,2,6,3,57
Unhealthy for Sensitive Groups,3,14,2,110
Good,1,40,0,14
Good,1,27,1,40
Good,1,38,3,42
Moderate,2,21,28,87
Good,1,38,2,29
Unhealthy,1,39,0,162
Good,0,21,0,21
Good,0,14,0,15
Unhealthy for Sensitive Groups,0,35,0,145
Moderate,2,22,1,91
Moderate,1,33,1,55
Moderate,1,46,0,78
Good,0,35,0,39
Good,1,25,2,35
Very Unhealthy,4,111,4,228
Good,0,27,0,50
Good,0,29,1,34
Good,0,28,2,27
Moderate,2,69,1,80
Moderate,1,17,0,52
Unhealthy,1,39,0,154
Good,1,26,4,26
Good,0,5,1,17
Good,2,12,0,30
Good,1,22,7,27
Unhealthy for Sensitive Groups,4,111,4,113
Good,1,22,9,37
Moderate,1,42,0,65
Good,0,34,1,26
Moderate,1,24,15,58
Moderate,1,25,4,70
Hazardous,3,143,4,428
Good,0,6,2,26
Moderate,1,28,3,78
Moderate,1,20,0,60
Moderate,1,17,3,61
Good,0,25,0,6
Good,1,28,2,30
Good,0,28,1,30
Good,0,30,2,30
Unhealthy,10,90,22,166
Good,2,15,0,42
Unhealthy for Sensitive Groups,3,91,2,105
Good,0,33,2,27
Moderate,1,44,5,78
Good,1,20,7,39
Hazardous,1,40,0,500
Unhealthy for Sensitive Groups,0,35,0,128
Moderate,2,22,7,83
Good,0,22,0,48
Good,1,38,3,37
Moderate,2,19,16,66
Moderate,2,15,6,73
Good,1,43,0,15
Moderate,1,35,2,54
Good,1,48,1,25
Unhealthy for Sensitive Groups,3,144,1,115
Good,1,28,2,31
Moderate,1,23,0,63
Moderate,1,31,6,54
Good,1,9,6,45
Moderate,1,31,6,54
Good,1,37,3,47
Good,0,12,1,34
Moderate,1,37,2,67
Good,1,27,1,13
Good,1,47,2,37
Good,1,29,1,32
Moderate,1,16,1,79
Hazardous,1,43,1,481
Moderate,1,24,13,59
Moderate,1,25,5,59
Good,1,25,3,40
Moderate,1,28,0,51
Good,0,27,2,41
Good,0,29,3,34
Moderate,1,24,4,60
Unhealthy,4,163,4,106
Moderate,1,43,1,86
Moderate,0,27,0,82
Moderate,1,34,0,51
Good,1,39,4,48
Good,1,22,1,25
Good,1,42,0,33
Moderate,2,16,12,57
Unhealthy,3,166,2,108
Moderate,2,6,8,75
Moderate,1,10,4,56
Good,0,30,1,26
Good,1,39,0,22
Moderate,1,32,2,57
Moderate,1,30,2,57
Good,1,14,0,35
Good,1,31,4,29
Good,0,29,1,32
Moderate,1,31,4,76
Moderate,1,20,0,52
Good,1,38,0,46
Moderate,1,43,0,65
Moderate,1,30,0,74
Moderate,2,19,4,75
Unhealthy for Sensitive Groups,2,13,6,101
Moderate,0,28,0,51
Moderate,0,23,0,59
Unhealthy,1,58,1,170
Moderate,1,38,0,57
Hazardous,3,47,9,500
Moderate,0,30,0,84
Good,1,14,1,29
Good,1,49,1,34
Good,1,28,2,30
Moderate,1,43,1,98
Unhealthy,1,25,1,151
Good,0,27,0,47
Good,0,15,0,21
Unhealthy,1,52,1,168
Good,1,24,4,36
Unhealthy,1,38,0,151
Moderate,1,32,5,69
Good,1,40,3,39
Unhealthy for Sensitive Groups,1,35,0,146
Good,1,45,0,20
Moderate,2,22,8,61
Moderate,2,19,13,83
Unhealthy for Sensitive Groups,3,112,1,99
Good,0,26,2,28
Good,0,22,0,7
Moderate,2,12,0,72
Moderate,1,54,1,38
Good,0,14,0,20
Good,1,25,2,30
Moderate,1,25,5,54
Moderate,0,25,0,54
Good,1,41,0,25
Good,0,15,0,42
Good,1,30,1,14
Good,0,31,2,28
Good,1,32,2,33
Good,1,23,4,33
Good,1,30,2,10
Moderate,1,10,6,62
Moderate,1,33,0,65
Good,1,47,1,41
Moderate,1,29,7,64
Moderate,3,11,5,76
Moderate,2,9,6,62
Good,1,40,2,34
Good,1,45,0,33
Good,1,26,0,34
Good,1,22,0,36
Good,1,33,2,23
Moderate,0,33,0,84
Moderate,2,13,27,78
Unhealthy,2,72,1,170
Moderate,1,40,0,51
Moderate,1,39,0,59
Unhealthy for Sensitive Groups,2,47,1,106
Unhealthy,0,36,0,161
Moderate,3,3,28,99
Good,1,28,3,27
Moderate,0,32,0,74
Good,0,29,1,39
Good,1,10,5,41
Moderate,1,45,5,67
Good,1,35,1,30
Moderate,2,8,27,75
Good,1,31,1,21
Unhealthy for Sensitive Groups,0,30,0,120
Good,0,16,0,30
Hazardous,1,48,1,268
Moderate,1,39,0,55
Unhealthy,2,157,3,135
Very Unhealthy,21,16,28,232
Unhealthy for Sensitive Groups,1,18,4,100
Unhealthy for Sensitive Groups,2,24,1,129
Moderate,2,28,5,71
Good,0,15,0,25
Good,1,16,2,28
Good,0,21,1,10
Moderate,1,31,1,59
Moderate,2,33,7,75
Moderate,1,27,2,59
Good,1,22,1,48
Good,1,32,0,28
Moderate,1,19,0,74
Unhealthy,2,73,0,156
Unhealthy for Sensitive Groups,3,87,2,148
Good,1,35,0,18
Moderate,2,15,13,99
Moderate,2,19,18,84
Moderate,2,73,1,47
Moderate,1,38,3,68
Good,1,39,0,50
Good,1,24,0,38
Moderate,1,32,4,53
Good,1,23,1,18
Unhealthy for Sensitive Groups,1,63,0,138
Good,1,6,2,35
Moderate,2,8,9,77
Moderate,2,3,6,69
Moderate,2,43,3,84
Moderate,2,62,1,95
Moderate,2,20,18,70
Moderate,2,30,0,78
Moderate,2,29,3,51
Moderate,2,74,1,68
Moderate,3,0,6,89
Good,1,39,0,29
Unhealthy for Sensitive Groups,3,5,17,104
Moderate,2,4,6,70
Unhealthy,3,164,0,164
Good,1,28,3,18
Moderate,2,12,17,61
Good,0,19,0,17
Good,1,13,5,50
Moderate,1,37,3,78
Unhealthy for Sensitive Groups,1,18,2,131
Moderate,1,44,1,66
Unhealthy for Sensitive Groups,1,44,0,103
Moderate,3,40,11,98
Moderate,2,7,8,76
Good,1,4,0,25
Unhealthy,1,48,0,174
Moderate,1,42,1,55
Good,0,26,2,14
Moderate,1,42,2,73
Unhealthy for Sensitive Groups,3,14,13,114
Unhealthy for Sensitive Groups,2,12,7,106
Moderate,1,22,4,69
Unhealthy,1,122,0,167
Moderate,1,30,3,66
Moderate,2,27,6,72
Good,1,40,1,10
Moderate,2,48,0,74
Good,1,33,7,50
Moderate,2,17,16,72
Good,1,18,0,49
Moderate,1,42,0,55
Good,1,21,3,41
Moderate,1,34,3,58
Good,1,22,3,25
Good,1,3,0,35
Good,1,27,2,45
Good,1,4,0,14
Moderate,1,35,2,58
Unhealthy,4,43,4,151
Moderate,2,7,9,67
Unhealthy,9,35,4,191
Good,1,37,2,31
Moderate,0,21,0,54
Very Unhealthy,5,222,7,163
Good,0,29,1,28
Moderate,2,25,1,84
Unhealthy,1,44,0,165
Unhealthy,3,156,1,158
Unhealthy for Sensitive Groups,1,29,1,100
Moderate,4,23,1,84
Unhealthy,3,128,1,163
Good,1,20,5,22
Good,1,41,1,30
Moderate,2,22,11,71
Moderate,1,32,2,67
Moderate,1,5,7,55
Good,1,33,3,21
Moderate,1,44,1,66
Good,1,29,4,26
Good,0,13,1,23
Moderate,1,24,3,96
Moderate,1,22,4,69
Moderate,1,27,5,56
Moderate,1,38,1,67
Unhealthy for Sensitive Groups,1,33,0,119
Moderate,2,31,6,79
Moderate,1,36,0,56
Good,1,44,0,10
Unhealthy for Sensitive Groups,2,33,1,110
Good,1,22,15,37
Good,0,17,0,24
Good,1,43,1,22
Moderate,1,26,0,60
Moderate,1,30,3,66
Moderate,1,36,4,67
Good,1,27,9,47
Unhealthy,8,1,17,172
Moderate,1,7,20,67
Moderate,1,34,4,61
Moderate,1,39,2,74
Moderate,1,42,2,62
Moderate,2,18,8,80
Good,1,31,0,21
Moderate,2,48,0,69
Moderate,1,37,4,53
Moderate,2,5,12,61
Unhealthy,5,33,6,172
Moderate,1,33,1,62
Good,0,23,0,24
Very Unhealthy,9,8,28,220
Unhealthy for Sensitive Groups,3,79,2,132
Unhealthy for Sensitive Groups,1,119,0,76
Moderate,1,25,3,56
Good,1,22,0,36
Moderate,1,37,3,87
Good,1,25,2,45
Good,1,26,5,25
Good,1,4,3,18
Good,1,28,7,43
Moderate,1,36,2,65
Moderate,1,40,1,70
Moderate,2,31,9,63
Moderate,2,31,10,64
Moderate,1,39,3,68
Moderate,0,26,0,59
Moderate,2,27,6,70
Good,1,22,7,50
Moderate,1,30,2,63
Good,1,31,0,20
Moderate,2,54,1,93
Good,1,37,0,39
Unhealthy,8,0,5,160
Good,0,17,3,19
Moderate,2,0,5,65
Moderate,1,28,2,53
Moderate,1,30,1,57
Moderate,2,28,6,71
Moderate,1,36,2,56
Good,1,30,7,46
Good,1,32,3,22
Moderate,1,37,4,67
Good,1,30,7,47
Moderate,2,26,1,73
Moderate,1,36,2,68
Unhealthy,2,83,0,156
Good,0,21,0,42
Moderate,1,31,0,53
Moderate,2,35,6,58
Moderate,1,24,9,56
Moderate,2,14,0,77
Moderate,2,28,2,77
Unhealthy for Sensitive Groups,1,32,0,126
Moderate,2,21,17,88
Moderate,2,23,4,69
Unhealthy,1,54,0,169
Unhealthy for Sensitive Groups,1,40,0,142
Moderate,1,17,10,55
Very Unhealthy,4,3,20,222
Moderate,2,48,1,78
Good,1,30,3,28
Moderate,1,31,2,67
Moderate,1,25,4,60
Moderate,1,43,1,55
Moderate,1,31,6,53
Good,1,10,3,49
Good,1,24,5,24
Unhealthy for Sensitive Groups,2,15,4,101
Moderate,1,21,2,67
Moderate,1,39,1,52
Good,1,24,6,38
Moderate,1,44,0,65
Moderate,1,39,2,56
Good,0,15,0,28
Good,1,35,0,39
Moderate,1,29,2,60
Moderate,1,26,7,65
Good,1,2,0,40
Moderate,2,23,13,61
Unhealthy,1,67,0,152
Good,1,29,5,38
Good,1,38,2,43
Unhealthy,4,167,1,168
Moderate,1,10,15,58
Good,1,39,0,14
Unhealthy for Sensitive Groups,2,17,3,107
Good,0,22,0,17
Unhealthy,3,168,1,152
Moderate,3,60,1,86
Good,1,26,0,45
Moderate,2,7,5,77
Good,1,26,0,31
Moderate,1,25,2,62
Moderate,1,44,0,88
Unhealthy,2,117,0,151
Moderate,1,38,3,61
Good,1,5,1,32
Unhealthy for Sensitive Groups,4,123,1,123
Moderate,2,27,7,62
Good,1,16,0,39
Good,1,24,3,39
Moderate,1,29,3,54
Moderate,2,3,20,73
Good,0,25,0,43
Moderate,1,30,5,55
Good,1,33,1,27
Moderate,2,16,15,51
Good,1,37,0,12
Unhealthy for Sensitive Groups,1,20,1,113
Moderate,1,26,8,57
Good,1,17,2,26
Moderate,1,46,1,71
Good,1,45,1,22
Good,1,32,4,40
Good,1,40,1,45
Very Unhealthy,12,3,51,206
Unhealthy,6,66,19,155
Unhealthy,6,67,18,168
Moderate,1,24,5,56
Moderate,2,15,13,82
Good,1,31,2,23
Good,1,39,1,27
Moderate,1,46,0,72
Unhealthy for Sensitive Groups,1,105,0,109
Good,1,34,0,31
Moderate,3,8,0,66
Good,1,17,5,28
Moderate,1,45,0,68
Moderate,2,21,5,61
Moderate,1,15,3,53
Moderate,1,39,2,64
Moderate,1,36,4,58
Unhealthy for Sensitive Groups,1,21,1,113
Good,1,33,4,38
Good,1,7,3,48
Moderate,2,19,2,57
Unhealthy,1,41,0,183
Moderate,1,28,0,74
Moderate,1,32,2,65
Good,1,26,6,40
Moderate,2,22,9,60
Moderate,1,7,3,56
Good,1,26,0,46
Good,1,29,3,19
Moderate,1,20,1,79
Moderate,2,22,1,73
Moderate,2,7,3,60
Moderate,2,13,19,64
Moderate,1,36,3,55
Good,1,31,7,35
Good,1,38,3,14
Good,1,32,0,7
Unhealthy,3,135,1,159
Good,1,33,2,36
Good,1,34,1,37
Good,0,24,1,17
Moderate,1,42,0,76
Unhealthy for Sensitive Groups,5,6,41,103
Good,1,32,3,36
Moderate,1,16,13,72
Good,1,3,3,39
Moderate,2,14,3,83
Moderate,1,13,1,53
Unhealthy for Sensitive Groups,1,45,1,103
Moderate,2,14,19,73
Moderate,2,6,10,65
Moderate,1,28,1,61
Good,1,19,0,26
Good,1,36,1,41
Moderate,1,34,0,54
Moderate,2,17,16,67
Unhealthy,3,166,1,193
Good,1,34,0,41
Moderate,1,12,2,69
Moderate,1,42,3,51
Moderate,2,34,11,57
Good,1,41,2,38
Moderate,3,7,22,81
Good,1,43,2,38
Good,1,27,0,45
Good,1,43,1,38
Unhealthy,0,25,0,153
Unhealthy,4,151,2,144
Good,1,31,2,16
Good,1,22,7,39
Good,1,32,6,49
Good,0,24,1,19
Unhealthy,1,55,1,155
Good,1,36,2,18
Good,1,34,0,23
Good,1,39,3,26
Unhealthy,10,28,6,150
Good,1,39,0,44
Unhealthy for Sensitive Groups,1,22,2,102
Moderate,1,24,0,79
Good,1,42,0,42
Good,1,23,0,21
Moderate,1,17,0,55
Good,1,33,0,29
Good,1,27,0,50
Very Unhealthy,4,203,4,158
Moderate,2,21,0,57
Good,1,34,3,19
Good,1,44,0,27
Good,0,13,0,42
Good,1,37,4,44
Moderate,1,43,4,77
Good,1,22,3,41
Unhealthy for Sensitive Groups,4,149,2,120
Good,1,17,0,27
Moderate,1,45,2,69
Moderate,2,26,0,73
Good,1,9,3,47
Good,1,23,3,40
Good,0,33,1,10
Unhealthy,3,200,1,109
Good,1,30,3,46
Good,0,36,0,14
Moderate,1,22,0,71
Moderate,1,24,11,69
Unhealthy for Sensitive Groups,4,3,41,118
Unhealthy for Sensitive Groups,2,24,4,107
Good,1,36,0,22
Good,1,47,0,38
Moderate,1,39,0,67
Moderate,1,28,2,60
Moderate,2,8,6,71
Good,1,19,4,34
Moderate,2,36,8,59
Good,1,40,1,16
Moderate,1,22,4,58
Good,1,48,1,33
Good,1,28,4,39
Moderate,2,20,6,72
Moderate,2,37,7,74
Good,1,47,2,50
Good,1,30,4,42
Unhealthy,3,129,1,161
Moderate,2,11,4,83
Good,0,21,0,17
Good,1,41,2,46
Moderate,1,45,2,52
Moderate,2,30,8,73
Moderate,1,54,2,51
Good,0,46,0,15
Good,1,33,0,49
Good,1,38,4,43
Moderate,1,39,8,58
Good,1,40,0,46
Unhealthy,3,15,5,154
Good,1,38,1,28
Good,1,15,0,33
Unhealthy,1,37,0,174
Moderate,1,42,5,68
Good,1,29,3,44
Moderate,1,27,4,56
Moderate,1,39,3,82
Unhealthy,1,34,2,150
Good,0,14,0,9
Good,1,27,5,42
Good,1,46,2,50
Unhealthy,1,30,2,150
Good,1,19,0,50
Moderate,2,14,0,68
Unhealthy,1,46,0,177
Good,0,16,0,22
Good,1,41,0,22
Good,0,36,0,17
Unhealthy,1,27,0,191
Good,1,35,0,42
Moderate,1,20,0,58
Good,1,34,2,36
Good,1,30,3,37
Good,1,8,0,20
Unhealthy,3,156,3,174
Moderate,2,14,20,60
Moderate,1,34,1,65
Good,1,40,6,42
Good,1,27,6,38
Moderate,1,12,10,53
Moderate,3,15,1,68
Moderate,1,36,1,86
Moderate,2,28,3,55
Moderate,1,36,3,69
Moderate,1,38,1,68
Good,1,11,0,45
Moderate,1,39,1,75
Moderate,2,25,10,55
Moderate,1,32,1,65
Good,1,6,2,32
Moderate,2,40,4,81
Moderate,1,11,4,58
Good,1,30,3,46
Moderate,1,28,4,67
Moderate,2,27,6,71
Moderate,2,47,8,60
Moderate,1,40,2,74
Good,1,28,2,15
Good,1,38,4,33
Good,1,41,0,28
Moderate,2,29,8,64
Good,1,17,0,40
Unhealthy for Sensitive Groups,2,47,4,109
Unhealthy for Sensitive Groups,2,74,7,117
Moderate,2,33,6,61
Moderate,1,30,1,52
Unhealthy,7,14,6,151
Moderate,1,46,2,55
Moderate,1,37,1,65
Moderate,1,28,7,67
Good,1,31,5,48
Moderate,1,23,3,54
Unhealthy for Sensitive Groups,2,7,14,103
Good,1,25,0,42
Good,0,30,2,3
Moderate,1,34,1,55
Unhealthy,6,29,5,150
Good,0,24,0,48
Unhealthy,4,181,2,176
Good,1,16,0,41
Moderate,2,35,9,63
Good,1,15,2,23
Moderate,2,36,5,71
Moderate,1,6,2,60
Moderate,2,17,21,77
Moderate,1,32,4,57
Good,1,43,0,38
Good,1,45,0,47
Good,1,24,8,30
Moderate,1,25,6,59
Moderate,1,38,0,57
Moderate,1,44,0,68
Good,1,10,4,46
Moderate,3,3,7,76
Moderate,2,23,0,82
Moderate,1,37,4,67
Moderate,1,7,3,51
Good,0,26,1,22
Moderate,1,43,2,52
Good,1,19,3,25
Good,2,45,6,45
Moderate,1,35,3,63
Good,0,20,0,25
Moderate,2,45,5,52
Moderate,1,22,5,68
Good,1,41,2,38
Moderate,1,24,2,63
Moderate,1,32,5,52
Moderate,1,45,0,61
Moderate,1,39,6,97
Unhealthy for Sensitive Groups,1,12,6,124
Moderate,2,43,5,90
Moderate,3,21,1,61
Good,1,25,5,30
Moderate,1,34,3,56
Good,1,10,5,44
Good,1,34,1,17
Moderate,2,84,1,81
Moderate,2,14,25,66
Good,1,13,12,50
Moderate,1,31,4,68
Good,1,19,0,43
Good,2,7,0,26
Good,1,27,5,46
Good,1,25,2,48
Moderate,1,36,1,55
Moderate,1,37,2,58
Moderate,1,39,3,52
Good,1,36,2,46
Moderate,1,28,6,62
Moderate,1,27,4,69
Unhealthy,4,154,1,145
Unhealthy,2,8,12,197
Very Unhealthy,3,202,10,153
Moderate,1,31,5,63
Moderate,2,19,7,55
Good,1,27,0,19
Moderate,1,66,0,90
Moderate,1,40,1,58
Good,1,28,0,45
Moderate,1,37,2,65
Good,1,32,1,36
Moderate,1,23,12,60
Moderate,1,33,1,62
Moderate,1,32,2,53
Good,1,28,3,36
Moderate,1,41,0,71
Moderate,1,41,1,79
Moderate,1,36,3,69
Good,1,38,0,4
Good,1,11,5,45
Good,1,34,0,19
Good,1,40,0,34
Moderate,1,67,2,61
Moderate,1,36,2,65
Unhealthy,1,43,0,163
Moderate,2,29,1,65
Moderate,2,22,5,79
Good,1,22,0,30
Moderate,1,35,4,54
Unhealthy for Sensitive Groups,2,31,1,103
Moderate,1,37,2,71
Moderate,2,17,23,81
Good,1,38,0,41
Moderate,1,36,1,67
Moderate,1,16,3,55
Moderate,1,20,2,51
Moderate,1,36,4,67
Good,1,39,0,38
Good,0,25,0,9
Moderate,1,26,1,54
Good,1,8,1,19
Good,2,32,4,47
Unhealthy,3,8,9,176
Good,0,18,0,41
Good,2,37,0,47
Moderate,1,36,3,51
Good,1,33,0,50
Good,1,40,0,28
Moderate,2,17,18,90
Moderate,2,25,12,69
Good,1,35,3,17
Moderate,1,35,5,53
Moderate,3,7,31,91
Good,1,18,1,48
Moderate,1,26,6,61
Moderate,1,41,1,54
Good,1,32,0,21
Moderate,1,37,1,64
Good,0,23,0,27
Moderate,2,45,2,69
Moderate,2,30,1,73
Good,1,24,2,44
Good,1,34,1,47
Moderate,2,27,3,66
Moderate,1,46,1,67
Good,1,44,0,33
Unhealthy for Sensitive Groups,1,40,6,124
Moderate,1,28,8,56
Moderate,1,47,0,52
Good,0,21,0,16
Good,1,20,0,31
Unhealthy,5,17,17,160
Good,0,21,0,16
Good,0,21,0,20
Good,1,19,2,42
Moderate,4,14,9,80
Moderate,1,39,2,59
Good,1,27,3,43
Moderate,1,60,0,60
Moderate,1,38,2,51
Unhealthy,5,26,22,167
Unhealthy,2,55,0,166
Unhealthy,4,57,7,173
Good,0,45,0,43
Unhealthy for Sensitive Groups,3,3,6,122
Unhealthy,3,43,5,160
Good,1,41,1,45
Very Unhealthy,11,9,63,225
Moderate,3,2,5,97
Moderate,1,32,1,55
Moderate,1,23,0,81
Unhealthy,5,62,6,171
Good,0,27,0,35
Moderate,1,38,1,54
Good,1,20,5,22
Moderate,1,49,0,54
Moderate,2,19,1,76
Good,1,43,0,16
Good,1,26,7,50
Moderate,1,49,0,82
Moderate,1,52,1,51
Unhealthy,2,24,1,157
Moderate,1,48,0,54
Moderate,1,34,1,69
Good,1,49,0,27
Moderate,1,26,1,57
Moderate,0,27,0,97
Good,1,43,0,11
Moderate,1,30,0,53
Unhealthy for Sensitive Groups,2,8,21,104
Moderate,1,24,0,61
